KOI,KOIpl,kepoi_name,Sep,dmi,e_dmi,dmK,e_dmK,Teff1,E_Teff1,e_Teff1,Rstar1,E_Rstar1,e_Rstar1,Teff2,E_Teff2,e_Teff2,Rstar2,Rstar2/Rstar1,E_Rstar2/Rstar1,e_Rstar2/Rstar1,Mstar1_est,Mstar2_est,Rppri,E_Rppri,e_Rppri,Rpsec,E_Rpsec,e_Rpsec,koi_period,koi_period_err1,koi_period_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_depth,koi_depth_err1,koi_depth_err2,rho_transit,rho_transit_err,rho_pri,rho_sec,p_pri,p_sec
42,42.01,K00042.01,1.66,,,1.87,0.02,6640,17,14,1.376,0.009,0.009,4771,43,38,0.710016,0.516,0.005,0.005,1.4902978,0.6517562,2.28,0.14,0.14,4.89,0.32,0.33,17.83367834,1.385e-05,-1.385e-05,30.706,0.309,-0.309,4.5112,0.0195,-0.0195,0.013,0.278,-0.013,326.9,2.4,-2.4,1.2229906659181375,0.0369215250213676,0.5720286,1.8208776,2.9938808183803085e-10,0.999999999700612
112,112.02,K00112.02,0.11,,,1.02,0.23,6256,65,61,1.124,0.039,0.037,5506,87,86,0.846372,0.753,0.009,0.009,1.1573317,0.8118048,1.49,0.29,0.3,1.98,0.38,0.4,3.709214104,6.536e-06,-6.536e-06,10.888,0.398,-0.398,2.6302,0.0427,-0.0427,0.051,0.395,-0.051,131.1,3.0,-3.0,1.2604214795103703,0.138220356955858,0.81500256,1.3389603,0.0540926084459184,0.9459073915540815
162,162.01,K00162.01,0.29,,,,,6148,104,118,1.078,0.054,0.053,5622,164,188,0.8742579,0.811,0.06,0.054,1.0984327,0.8453751,3.72,0.86,0.83,4.5,0.93,0.92,14.00640392,1.731e-05,-1.731e-05,19.48,5.7,-5.7,4.6919,0.0396,-0.0396,0.568,0.286,-0.368,716.4,7.6,-7.6,0.5062311074609768,0.4443815163030135,0.87683374,1.2651172,0.7137223290615234,0.2862776709384766
163,163.01,K00163.01,1.22,,,0.17,0.0,5290,54,55,0.763,0.008,0.008,5015,52,53,0.729428,0.956,0.004,0.004,0.7131086,0.67410576,2.71,0.26,0.26,3.09,0.3,0.29,11.1199028,1.166e-05,-1.166e-05,18.37,7.0,-7.0,3.3759,0.0372,-0.0372,0.72,0.152,-0.506,636.3,7.3,-7.3,0.6735359029083429,0.7699648318494937,1.6053954,1.7369238,0.547012347512745,0.452987652487255
165,165.01,K00165.01,0.28,,,0.86,0.0,5508,87,94,0.85,0.031,0.028,4432,90,79,0.65620005,0.772,0.007,0.007,0.8161569,0.5906026,2.79,0.32,0.31,4.93,0.57,0.56,13.22175358,1.342e-05,-1.342e-05,33.4,13.6,-13.6,2.7884,0.0322,-0.0322,0.451,0.007,-0.445,876.5,11.0,-11.0,2.8634957767331155,3.4979229847518294,1.3289751,2.0901937,0.4820894608451048,0.5179105391548952
174,174.01,K00174.01,0.56,,,2.57,0.02,4954,43,42,0.728,0.007,0.007,3508,12,10,0.32759997,0.45,0.004,0.004,0.6724565,0.2478448,2.4,0.14,0.14,7.15,0.45,0.46,56.35407916,9.756e-05,-9.756e-05,76.2,34.8,-34.8,3.4449,0.0661,-0.0661,0.835,0.047,-0.572,1037.0,20.2,-20.2,1.871756985533065,2.564454452620104,1.7428905,7.0493364,0.8507791622535128,0.1492208377464872
191,191.01,K00191.01,1.67,2.75,0.02,,,5685,48,48,0.882,0.014,0.012,3964,34,32,0.532728,0.604,0.007,0.007,0.85474336,0.4551263,10.64,1.2,1.18,29.08,3.4,3.31,15.358767771,2.129e-06,-2.129e-06,28.47,1.5,-1.5,4.1223,0.0157,-0.0157,0.487,0.016,-0.031,14638.1,20.2,-20.2,1.314270978107981,0.2077351387947283,1.2457472,3.0103383,0.9969570182261294,0.0030429817738705
191,191.02,K00191.02,1.67,2.75,0.02,,,5685,48,48,0.882,0.014,0.012,3964,34,32,0.532728,0.604,0.007,0.007,0.85474336,0.4551263,2.2,0.24,0.25,6.01,0.69,0.67,2.418406841,2.472e-06,-2.472e-06,9.131,0.5,-0.5,2.0744,0.0311,-0.0311,0.018,0.439,-0.018,665.4,10.9,-10.9,1.7487654603539682,0.2872793988096541,1.2457472,3.0103383,0.8456790998364104,0.1543209001635895
270,270.01,K00270.01,0.14,,,0.45,0.32,5896,82,77,0.97,0.039,0.035,5856,87,73,0.96321,0.993,0.009,0.009,0.9626417,0.95422596,1.46,0.09,0.09,1.48,0.1,0.09,12.58229808,2.736e-05,-2.736e-05,15.223,0.621,-0.621,6.375,0.05,-0.05,0.044,0.367,-0.044,118.7,2.1,-2.1,0.2993753696134058,0.0366377398403583,1.0547498,1.067796,0.5295987156194732,0.4704012843805267
750,750.01,K00750.01,0.05,,,0.6,0.4,5166,68,80,0.773,0.017,0.018,4140,159,120,0.583615,0.755,0.051,0.039,0.7248103,0.5101032,2.64,0.19,0.22,4.96,0.6,0.56,21.67699193,7.01e-05,-7.01e-05,24.6,11.6,-11.6,3.4555,0.0656,-0.0656,0.896,0.01,-0.663,857.2,27.1,-27.1,0.4256401165583388,0.6021250429361865,1.5692273,2.5661304,0.9488775777055952,0.0511224222944048
750,750.02,K00750.02,0.05,,,0.6,0.4,5166,68,80,0.773,0.017,0.018,4140,159,120,0.583615,0.755,0.051,0.039,0.7248103,0.5101032,1.06,0.07,0.09,1.99,0.24,0.24,5.04413987,3.519e-05,-3.519e-05,16.78,7.4,-7.4,1.623,0.21,-0.21,0.727,0.242,-0.508,172.0,22.7,-22.7,2.494806644496823,3.3006381113128413,1.5692273,2.5661304,0.4902788227845582,0.5097211772154417
750,750.03,K00750.03,0.05,,,0.6,0.4,5166,68,80,0.773,0.017,0.018,4140,159,120,0.583615,0.755,0.051,0.039,0.7248103,0.5101032,1.3,0.09,0.1,2.43,0.29,0.28,14.516741,0.0001564,-0.0001564,22.8,11.0,-11.0,2.706,0.243,-0.243,0.851,0.101,-0.643,227.2,25.1,-25.1,0.7556167005884472,1.0936557508517,1.5692273,2.5661304,0.7220766622693955,0.2779233377306045
841,841.01,K00841.01,1.98,4.21,0.1,3.42,0.09,5393,97,120,0.802,0.024,0.021,3616,33,44,0.365712,0.456,0.007,0.008,0.75895834,0.28439632,5.4,0.65,0.64,17.87,2.09,2.0,15.33528675,1.989e-05,-1.989e-05,21.65,9.1,-9.1,3.897,0.0771,-0.0771,0.773,0.006,-0.543,3081.4,39.0,-39.0,0.5797291842045532,0.7310210960177507,1.4712783,5.81442,0.9999497194506028,5.028054939726844e-05
