KOIpl,Rppri,E_Rppri,e_Rppri,Rpsec,E_Rpsec,e_Rpsec,Rpkep,e_Rpkep,Teqpri,E_Teqpri,e_Teqpri,Teqsec,E_Teqsec,e_Teqsec,Teqkep,Spri,E_Spri,e_Spri,Ssec,E_Ssec,e_Ssec,Skep,e_Skep,KOI,Simbad_x,_RA_x,_DE_x,NIRC2,Np,Sep,Date,rmag,SNR,dmi,e_dmi,dmLP600,e_dmLP600,dmGaia,e_dmGaia,dm562nm,e_dm562nm,dm692nm,e_dm692nm,dm880nm,e_dm880nm,dmJ,e_dmJ,dmK,e_dmK,Ref,Teff1,E_Teff1,e_Teff1,Teff2,E_Teff2,e_Teff2,Teffkep,e_Teffkep,Rstar1,E_Rstar1,e_Rstar1,Rstar2/Rstar1,E_Rstar2/Rstar1,e_Rstar2/Rstar1,Rstarkep,e_Rstarkep,fcorr-p,E_fcorr-p,e_fcorr-p,fcorr-s,E_fcorr-s,e_fcorr-s,Source,K16,F17,Simbad_y,_RA_y,_DE_y,KOIpl_clean,kepoi_name,koi_period,koi_period_err1,koi_period_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_steff,koi_srad,koi_smass,Rstar2,Mstar1_est,Mstar2_est,rho_pri,rho_sec,rho_transit,rho_transit_fracerr,rho_transit_err,rho_pri_err,rho_sec_err,lnL_pri,lnL_sec,prior_pri,prior_sec,p_pri,p_sec,usable
42.01,2.28,0.14,0.14,4.89,0.32,0.33,2.43,0.12,873,27,27,451,15,15,866,148.51,0.75,6.32,15.8,0.5,0.95,132.94,20.74,0042,Simbad,283.15067,45.13982,*,1,1.66,2022-07-13,9.33,2095,,,3.04,0.17,,,4.24,0.15,,,,,2.21,0.03,1.87,0.02,"F17,A12,H11,B16,K16",6640,17,14,4771,43,38,6306,126,1.376,0.009,0.009,0.516,0.005,0.005,1.509,0.063,0.94,0.04,0.04,2.01,0.1,0.09,1,1,1,Simbad,283.15067,45.13982,42.01,K00042.01,17.83367834,1.385e-05,-1.385e-05,30.706,0.309,-0.309,4.5112,0.0195,-0.0195,0.013,0.278,-0.013,326.9,2.4,-2.4,6407.0,1.337,1.208,0.710016,1.4902978,0.6517562,0.5720286,1.8208776,1.2229906659181375,0.03018953950368006,0.0369215250213676,0.08580429,0.27313164,-24.28216016017261,-2.35287970891646,0.5,0.5,2.993880818380309e-10,0.9999999997006119,True
112.01,3.55,0.72,0.72,4.74,0.98,0.98,2.75,0.39,571,44,44,436,35,35,503,22.1,1.85,1.95,8.59,0.83,0.82,15.17,6.0,0112,Simbad,295.64868,48.49555,*,2,0.11,2023-09-24,12.74,521,,,,,,,,,1.78,0.15,1.63,0.15,0.86,0.03,1.02,0.23,"F17,A12,H11,K16",6256,65,61,5506,87,86,5833,105,1.124,0.039,0.037,0.753,0.009,0.009,1.022,0.143,1.27,0.21,0.17,1.67,0.29,0.21,2,1,1,Simbad,295.64868,48.49555,112.01,,,,,,,,,,,,,,,,,,,,0.846372,1.1573317,0.8118048,0.81500256,1.3389603,,,,0.122250386,0.20084405,,,0.5,0.5,,,False
112.02,1.49,0.29,0.3,1.98,0.38,0.4,1.16,0.17,1371,101,104,1047,78,80,1206,729.36,61.17,64.29,283.49,27.43,27.2,500.46,197.96,0112,Simbad,295.64868,48.49555,*,2,0.11,2023-09-24,12.74,521,,,,,,,,,1.78,0.15,1.63,0.15,0.86,0.03,1.02,0.23,"F17,A12,H11,K16",6256,65,61,5506,87,86,5833,105,1.124,0.039,0.037,0.753,0.009,0.009,1.022,0.143,1.27,0.21,0.17,1.67,0.29,0.21,2,1,1,Simbad,295.64868,48.49555,112.02,K00112.02,3.709214104,6.536e-06,-6.536e-06,10.888,0.398,-0.398,2.6302,0.0427,-0.0427,0.051,0.395,-0.051,131.1,3.0,-3.0,5833.0,1.022,0.974,0.846372,1.1573317,0.8118048,0.81500256,1.3389603,1.2604214795103703,0.10966201322556944,0.13822035695585802,0.122250386,0.20084405,-2.913331479663331,-0.05188435906758419,0.5,0.5,0.05409260844591847,0.9459073915540817,True
162.01,3.72,0.86,0.83,4.5,0.93,0.92,3.11,0.45,848,67,68,698,62,66,807,106.94,15.0,15.3,55.45,11.28,11.62,100.09,42.19,0162,Simbad,295.16377,43.96305,*,1,0.29,2022-10-21,13.77,297,,,0.81,0.29,,,,,,,,,,,,,F17,6148,104,118,5622,164,188,5788,116,1.078,0.054,0.053,0.811,0.06,0.054,1.124,0.164,1.17,0.2,0.17,1.42,0.26,0.2,2,0,1,Simbad,295.16377,43.96305,162.01,K00162.01,14.00640392,1.731e-05,-1.731e-05,19.48,5.7,-5.7,4.6919,0.0396,-0.0396,0.568,0.286,-0.368,716.4,7.6,-7.6,5788.0,1.124,0.969,0.8742579,1.0984327,0.8453751,0.87683374,1.2651172,0.5062311074609768,0.8778234086242299,0.4443815163030135,0.13152507,0.18976758,-0.3197464598951816,-1.233278234493256,0.5,0.5,0.7137223290615234,0.28627767093847667,True
163.01,2.71,0.26,0.26,3.09,0.3,0.29,2.08,0.14,676,28,27,626,25,25,649,51.1,2.71,2.79,38.2,2.17,2.08,42.07,9.84,0163,Simbad,288.0676,42.35537,*,1,1.22,2023-09-10,13.49,324,,,0.36,0.03,0.43,0.05,,,,,,,,,0.17,0.0,F17,5290,54,55,5015,52,53,5078,101,0.763,0.008,0.008,0.956,0.004,0.004,0.766,0.052,1.3,0.09,0.09,1.48,0.11,0.09,2,0,1,Simbad,288.06759,42.35534,163.01,K00163.01,11.1199028,1.166e-05,-1.166e-05,18.37,7.0,-7.0,3.3759,0.0372,-0.0372,0.72,0.152,-0.506,636.3,7.3,-7.3,5078.0,0.766,0.816,0.729428,0.7131086,0.67410576,1.6053954,1.7369238,0.6735359029083429,1.1431682090364725,0.7699648318494937,0.24080932,0.26053858,-0.6671139610524905,-0.8557204684601224,0.5,0.5,0.547012347512745,0.45298765248725503,True
165.01,2.79,0.32,0.31,4.93,0.57,0.56,2.38,0.18,699,34,34,495,24,24,640,52.23,5.64,5.75,15.78,1.74,1.78,39.56,9.88,0165,Simbad,292.48693,46.1962,*,1,0.28,2023-09-25,13.9,257,,,,,,,,,,,,,,,0.86,0.0,F17,5508,87,94,4432,90,79,5211,103,0.85,0.031,0.028,0.772,0.007,0.007,0.799,0.06,1.16,0.11,0.09,2.07,0.18,0.17,2,0,1,Simbad,292.48693,46.1962,165.01,K00165.01,13.22175358,1.342e-05,-1.342e-05,33.4,13.6,-13.6,2.7884,0.0322,-0.0322,0.451,0.007,-0.445,876.5,11.0,-11.0,5211.0,0.799,0.838,0.65620005,0.8161569,0.5906026,1.3289751,2.0901937,2.8634957767331155,1.2215568862275448,3.4979229847518294,0.19934627,0.31352907,-0.09591505511298186,-0.02424223234428707,0.5,0.5,0.4820894608451048,0.5179105391548952,True
174.01,2.4,0.14,0.14,7.15,0.45,0.46,2.59,0.1,353,11,11,168,5,5,352,4.11,0.21,0.2,0.37,0.02,0.02,3.63,0.61,0174,Simbad,296.82285,48.10755,*,1,0.56,2022-09-27,13.72,326,,,4.43,0.44,,,,,,,,,,,2.57,0.02,"F17,H11,K16",4954,43,42,3508,12,10,4734,95,0.728,0.007,0.007,0.45,0.004,0.004,0.796,0.034,0.92,0.04,0.04,2.76,0.14,0.13,1,1,1,Simbad,296.82285,48.10755,174.01,K00174.01,56.35407916,9.756e-05,-9.756e-05,76.2,34.8,-34.8,3.4449,0.0661,-0.0661,0.835,0.047,-0.572,1037.0,20.2,-20.2,4802.0,0.701,0.686,0.32759997,0.6724565,0.2478448,1.7428905,7.0493364,1.8717569855330647,1.37007874015748,2.564454452620104,0.26143357,1.0574005,-0.0012495967953171311,-1.7419748466789653,0.5,0.5,0.8507791622535128,0.14922083774648726,True
177.01,2.45,0.52,0.51,2.62,0.55,0.52,1.78,0.26,719,55,57,674,52,55,669,56.31,6.85,6.94,44.51,5.54,5.71,47.39,19.64,0177,Simbad,298.17724,42.23702,*,1,0.23,2021-09-05,13.14,227,0.97,0.35,,,,,,,0.82,0.2,0.61,0.23,,,0.19,0.01,"F17,K16",6085,78,115,5903,83,123,5706,114,1.051,0.039,0.056,0.934,0.005,0.005,1.034,0.148,1.34,0.23,0.18,1.43,0.25,0.19,2,1,1,Simbad,298.17724,42.23702,177.01,,,,,,,,,,,,,,,,,,,,0.981634,1.0641513,0.9770955,0.9166325,1.0329711,,,,0.13749488,0.15494567,,,0.5,0.5,,,False
191.01,10.64,1.2,1.18,29.08,3.4,3.31,10.89,1.11,672,22,22,364,12,13,662,52.44,3.27,3.23,6.47,0.42,0.42,45.46,14.22,0191,Simbad,295.2872,41.22196,*,4,1.67,2022-10-20,14.95,136,2.75,0.02,3.09,0.49,,,,,,,,,,,,,"F17,LB14",5685,48,48,3964,34,32,5456,109,0.882,0.014,0.012,0.604,0.007,0.007,0.931,0.048,0.97,0.05,0.05,2.65,0.16,0.14,1,0,1,Simbad,295.2872,41.22196,191.01,K00191.01,15.358767771,2.129e-06,-2.129e-06,28.47,1.5,-1.5,4.1223,0.0157,-0.0157,0.487,0.016,-0.031,14638.1,20.2,-20.2,5422.0,0.887,0.874,0.532728,0.85474336,0.4551263,1.2457472,3.0103383,1.3142709781079813,0.15806111696522657,0.20773513879472835,0.18686208,0.45155075,-0.03007190554599153,-5.821941682101021,0.5,0.5,0.9969570182261294,0.003042981773870586,True
191.02,2.2,0.24,0.25,6.01,0.69,0.67,2.25,0.23,1245,41,42,675,24,24,1226,616.69,38.44,37.95,76.14,4.97,4.96,535.84,167.62,0191,Simbad,295.2872,41.22196,*,4,1.67,2022-10-20,14.95,136,2.75,0.02,3.09,0.49,,,,,,,,,,,,,"F17,LB14",5685,48,48,3964,34,32,5456,109,0.882,0.014,0.012,0.604,0.007,0.007,0.931,0.048,0.97,0.05,0.05,2.65,0.16,0.14,1,0,1,Simbad,295.2872,41.22196,191.02,K00191.02,2.418406841,2.472e-06,-2.472e-06,9.131,0.5,-0.5,2.0744,0.0311,-0.0311,0.018,0.439,-0.018,665.4,10.9,-10.9,5422.0,0.887,0.874,0.532728,0.85474336,0.4551263,1.2457472,3.0103383,1.7487654603539682,0.16427554484722373,0.28727939880965414,0.18686208,0.45155075,-1.0771990754087617,-2.7783048467649745,0.5,0.5,0.8456790998364104,0.15432090016358954,True
