KOI,KOIpl,kepoi_name,Sep,Teff1,Teff2,Rstar1,Rstar2,Mstar1_est,Mstar2_est,Rppri,Rpsec,koi_period,koi_dor,koi_duration,koi_impact,rho_transit,rho_transit_err,rho_pri,rho_sec,p_pri,p_sec,usable
0042,42.01,K00042.01,1.66,6640,4771,1.376,0.710016,1.4902978,0.6517562,2.28,4.89,17.83367834,30.706,4.5112,0.013,1.2229906659181375,0.0369215250213676,0.5720286,1.8208776,2.993880818380309e-10,0.9999999997006119,True
0112,112.02,K00112.02,0.11,6256,5506,1.124,0.846372,1.1573317,0.8118048,1.49,1.98,3.709214104,10.888,2.6302,0.051,1.2604214795103703,0.13822035695585802,0.81500256,1.3389603,0.05409260844591847,0.9459073915540817,True
0162,162.01,K00162.01,0.29,6148,5622,1.078,0.8742579,1.0984327,0.8453751,3.72,4.5,14.00640392,19.48,4.6919,0.568,0.5062311074609768,0.4443815163030135,0.87683374,1.2651172,0.7137223290615234,0.28627767093847667,True
0163,163.01,K00163.01,1.22,5290,5015,0.763,0.729428,0.7131086,0.67410576,2.71,3.09,11.1199028,18.37,3.3759,0.72,0.6735359029083429,0.7699648318494937,1.6053954,1.7369238,0.547012347512745,0.45298765248725503,True
0165,165.01,K00165.01,0.28,5508,4432,0.85,0.65620005,0.8161569,0.5906026,2.79,4.93,13.22175358,33.4,2.7884,0.451,2.8634957767331155,3.4979229847518294,1.3289751,2.0901937,0.4820894608451048,0.5179105391548952,True
0174,174.01,K00174.01,0.56,4954,3508,0.728,0.32759997,0.6724565,0.2478448,2.4,7.15,56.35407916,76.2,3.4449,0.835,1.8717569855330647,2.564454452620104,1.7428905,7.0493364,0.8507791622535128,0.14922083774648726,True
0191,191.01,K00191.01,1.67,5685,3964,0.882,0.532728,0.85474336,0.4551263,10.64,29.08,15.358767771,28.47,4.1223,0.487,1.3142709781079813,0.20773513879472835,1.2457472,3.0103383,0.9969570182261294,0.003042981773870586,True
0191,191.02,K00191.02,1.67,5685,3964,0.882,0.532728,0.85474336,0.4551263,2.2,6.01,2.418406841,9.131,2.0744,0.018,1.7487654603539682,0.28727939880965414,1.2457472,3.0103383,0.8456790998364104,0.15432090016358954,True
0270,270.01,K00270.01,0.14,5896,5856,0.97,0.96321,0.9626417,0.95422596,1.46,1.48,12.58229808,15.223,6.375,0.044,0.29937536961340583,0.03663773984035835,1.0547498,1.067796,0.5295987156194732,0.4704012843805267,True
0750,750.01,K00750.01,0.05,5166,4140,0.773,0.583615,0.7248103,0.5101032,2.64,4.96,21.67699193,24.6,3.4555,0.896,0.4256401165583388,0.6021250429361865,1.5692273,2.5661304,0.9488775777055951,0.05112242229440482,True
0750,750.02,K00750.02,0.05,5166,4140,0.773,0.583615,0.7248103,0.5101032,1.06,1.99,5.04413987,16.78,1.623,0.727,2.494806644496823,3.3006381113128413,1.5692273,2.5661304,0.49027882278455825,0.5097211772154417,True
0750,750.03,K00750.03,0.05,5166,4140,0.773,0.583615,0.7248103,0.5101032,1.3,2.43,14.516741,22.8,2.706,0.851,0.7556167005884472,1.0936557508517,1.5692273,2.5661304,0.7220766622693955,0.27792333773060457,True
0841,841.01,K00841.01,1.98,5393,3616,0.802,0.365712,0.75895834,0.28439632,5.4,17.87,15.33528675,21.65,3.897,0.773,0.5797291842045532,0.7310210960177507,1.4712783,5.81442,0.9999497194506027,5.0280549397268435e-05,True
